connector,landed_metric,canonical_metric
adobe-analytics,occurrences,events
adobe-analytics,orders,conversions
adobe-analytics,visitors,users
adobe-analytics,visits,sessions
amazon-ads,purchases14d,purchases_14d
amazon-ads,purchases30d,purchases_30d
amazon-ads,sales14d,sales_14d
amazon-ads,sales30d,sales_30d
amazon-ads,unitsSold,units_sold
amazon-ads,viewableImpressions,viewable_impressions
amazon-dsp,purchases,conversions
amazon-dsp,sales,revenue
amazon-dsp,totalCost,cost
brevo,contact_count,contacts
brevo,delivered,messages_delivered
brevo,event_count,events
brevo,hard_bounces,bounces
brevo,sent,messages_sent
brevo,unsubscribed,unsubscribes
cm360,conversion_value,conversions_value
dv360,conversion_value_micros,conversions_value
dv360,media_cost_micros,cost
google-ad-manager,AD_SERVER_CLICKS,clicks
google-ad-manager,AD_SERVER_IMPRESSIONS,impressions
google-ad-manager,AD_SERVER_REVENUE,ad_revenue
google-ads,cost_micros,cost
google-analytics,activeUsers,active_users
google-analytics,purchaseRevenue,purchase_revenue
google-analytics,screenPageViews,screen_page_views
google-business-profile,BUSINESS_BOOKINGS,business_bookings
google-business-profile,BUSINESS_CONVERSATIONS,business_conversations
google-business-profile,BUSINESS_DIRECTION_REQUESTS,business_direction_requests
google-business-profile,BUSINESS_FOOD_MENU_CLICKS,business_food_menu_clicks
google-business-profile,BUSINESS_FOOD_ORDERS,business_food_orders
google-business-profile,BUSINESS_IMPRESSIONS_DESKTOP_MAPS,business_impressions_desktop_maps
google-business-profile,BUSINESS_IMPRESSIONS_DESKTOP_SEARCH,business_impressions_desktop_search
google-business-profile,BUSINESS_IMPRESSIONS_MOBILE_MAPS,business_impressions_mobile_maps
google-business-profile,BUSINESS_IMPRESSIONS_MOBILE_SEARCH,business_impressions_mobile_search
google-business-profile,CALL_CLICKS,call_clicks
google-business-profile,WEBSITE_CLICKS,website_clicks
ias,eligibleImps,eligible_impressions
ias,failedImps,brand_safety_failed_ads
ias,invalidImps,invalid_traffic_ads
ias,measuredImps,measured_impressions
ias,passedImps,brand_safety_passed_ads
ias,viewableImps,viewable_impressions
instagram-insights,account_profile_views,profile_views
instagram-insights,account_reach,unique_reach
instagram-insights,media_comments,comments
instagram-insights,media_shares,shares
klaviyo,conversions,attributed_conversions
klaviyo,revenue,attributed_revenue
linkedin-ads,costInLocalCurrency,cost
linkedin-ads,externalWebsiteConversions,conversions
linkedin-ads,leadGenerationMailContactInfoShares,leads
linkedin-company-pages,engagement,engagement_rate
linkedin-company-pages,follower_count,followers
linkedin-company-pages,organic_follower_gain,followers_gained
linkedin-company-pages,paid_follower_gain,paid_followers_gained
meta-ads,spend,cost
microsoft-ads,spend,cost
piano,m_events,events
piano,m_page_loads,page_loads
piano,m_unique_visitors,unique_visitors
piano,m_visits,visits
pinterest-ads,SPEND_IN_MICRO_DOLLAR,cost
pinterest-ads,TOTAL_CHECKOUT,checkouts
pinterest-ads,TOTAL_CHECKOUT_VALUE_IN_MICRO_DOLLAR,checkout_value
pinterest-ads,TOTAL_CLICKTHROUGH,clicks
pinterest-ads,TOTAL_CONVERSIONS,conversions
pinterest-ads,TOTAL_ENGAGEMENT,engagements
pinterest-ads,TOTAL_IMPRESSION,impressions
sa360,metrics.average_cpc_micros,average_cpc
sa360,metrics.click_through_rate,click_through_rate
sa360,metrics.clicks,clicks
sa360,metrics.conversions,conversions
sa360,metrics.conversions_value,conversions_value
sa360,metrics.cost_micros,cost
sa360,metrics.impressions,impressions
sa360,metrics.search_impression_share,search_impression_share
shopify,order,orders_count
shopify,total_price,revenue
shopify,total_refunded,refund_amount
square,amount,revenue
square,fee_amount,fees
square,refunded,refunds
stripe,amount,revenue
stripe,amount_refunded,refunds
stripe,fee_amount,fees
taboola,change_count,events
taboola,conversion_value,conversions_value
taboola,spent,cost
thetradedesk,AdvertiserCostAdvCurrency,advertiser_cost_adv_currency
thetradedesk,AdvertiserCostUSD,advertiser_cost_usd
thetradedesk,Bids,bids
thetradedesk,Clicks,clicks
thetradedesk,Impressions,impressions
thetradedesk,PartnerCostUsd,partner_cost_usd
thetradedesk,TotalClickConversions,total_click_conversions
thetradedesk,TotalViewThroughConversions,total_view_through_conversions
thetradedesk,TtdCostUsd,ttd_cost_usd
tiktok-ads,spend,cost
woocommerce,order,orders_count
woocommerce,total,revenue
woocommerce,total_refunded,refund_amount
x-ads,billed_charge_local_micro,cost
x-ads,frequency,average_frequency
x-ads,reach,unique_reach
youtube-analytics,estimatedMinutesWatched,estimated_minutes_watched
youtube-analytics,subscriberCount,subscriber_count
youtube-analytics,subscribersGained,subscribers_gained
youtube-analytics,subscribersLost,subscribers_lost
youtube-analytics,videoCount,video_count
youtube-analytics,viewCount,lifetime_view_count
youtube-analytics,viewerPercentage,viewer_percentage
