scenario,project_id,connector,metric,date,revenue_role,landed_tax_posture,currency,source_decimal_value,landed_revenue_micros,rule_category,rule_form,rule_rate,rule_amount_micros,rule_currency,cond_key,cond_value,transaction_count,measured_fee_micros,expected_gross_ttc_micros,expected_net_ht_micros,expected_sales_tax_micros,expected_payment_fee_micros,expected_cost_ht_micros,expected_roas_ht_numer_micros,expected_roas_ht_denom_micros,expected_gross_margin_micros,expected_gap_codes,expected_is_complete,notes
vat_deduct_pinned,__epic41_revenue__,__epic41_shop_a__,revenue,2026-05-01,SALES,TAX_INCLUSIVE,EUR,12345.670000,12345670000,SALES_TAX,PERCENTAGE,0.200000,,,,,,,12345670000,10288058333,2057611667,,,,,,,true,R1 the worked example: ROUND(12345670000/1.2)=10288058333 and the tax is exact integer subtraction
vat_half_micro,__epic41_revenue__,__epic41_shop_a__,revenue,2026-05-01,SALES,TAX_INCLUSIVE,EUR,12000.000003,12000000003,SALES_TAX,PERCENTAGE,0.200000,,,,,,,12000000003,10000000003,2000000000,,,,,,,true,R2 ALGEBRAIC expectation: 12000000003/1.2 = 10000000002.5 exactly; SQL ROUND is half away from zero so 10000000003 while money.py bankers rounding would give 10000000002. The identity holds either way because the tax is subtracted not rounded
vat_zero_rate,__epic41_revenue__,__epic41_shop_a__,revenue,2026-05-01,SALES,TAX_INCLUSIVE,EUR,5000.000000,5000000000,SALES_TAX,PERCENTAGE,0.000000,,,,,,,5000000000,5000000000,0,,,,,,,true,R3 a REAL zero: the computation ran and the answer is zero. No gap
vat_rate_invalid,__epic41_revenue__,__epic41_shop_a__,revenue,2026-05-01,SALES,TAX_INCLUSIVE,EUR,1000.000000,1000000000,SALES_TAX,PERCENTAGE,-0.050000,,,,,,,1000000000,,,,,,,,VAT_RATE_INVALID,false,R4 a negative rate: both derived columns NULL and the division is never evaluated. 119 refuses this at declaration so only the CHECK-free mirror can carry it
sales_tax_rule_absent,__epic41_revenue__,__epic41_shop_a__,revenue,2026-05-01,SALES,TAX_INCLUSIVE,EUR,8000.000000,8000000000,,,,,,,,,,8000000000,,,,,,,,SALES_TAX_RULE_ABSENT,false,R5 THE DAY-ONE HOT PATH asserted positively: landed and gross_ttc populated net_ht NULL
three_series_no_triple,__epic41_revenue__,__epic41_sdk_a__,revenue,2026-05-01,SALES,UNDECLARED,EUR,1000.000000,1000000000,,,,,,,,,,,,,,,,,,REVENUE_TAX_POSTURE_UNDECLARED,false,R6 an adjust-shaped 3-series day. The correct answer is 1x the day not 3x. NOT REACHABLE in the dev warehouse: adjust ships no seed fixture (pre-existing epic retro item C.9/7) so the C4 collapse is asserted structurally rather than falsified
source_dedup_two_stores,__epic41_revenue__,__epic41_shop_b__,revenue,2026-05-01,SALES,TAX_INCLUSIVE,EUR,4000.000000,4000000000,SALES_TAX,PERCENTAGE,0.200000,,,,,,,4000000000,3333333333,666666667,,,10000000000,,,,true,R7 the LOSING store. The alignment view must read the winner alone (10000000000) which is STRICTLY LESS than the 14000000000 sum
attributed_not_in_roas,__epic41_revenue__,__epic41_sdk_a__,ad_revenue,2026-05-01,ATTRIBUTED,UNDECLARED,EUR,99000.000000,99000000000,,,,,,,,,,,,,,,,,,REVENUE_TAX_POSTURE_UNDECLARED,false,R8 a claimed metric with a large value. Normalized and visible but ABSENT from the ROAS numerator (Epic 27 invariant 4). NOT REACHABLE in the dev warehouse: no claimed-revenue emitter ships a seed fixture
posture_undeclared,__epic41_revenue__,__epic41_sdk_a__,revenue,2026-05-02,SALES,UNDECLARED,EUR,2000.000000,2000000000,,,,,,,,,,,,,,,,,,REVENUE_TAX_POSTURE_UNDECLARED,false,R9 landed_basis UNRESOLVED so both derived columns NULL and ZERO alignment rows for that source
source_type_scoped_gaps,__epic41_revenue__,__epic41_shop_a__,revenue,2026-05-01,SALES,TAX_INCLUSIVE,EUR,1000.000000,1000000000,SALES_TAX,PERCENTAGE,0.200000,,,source_type,COMMERCE_REVENUE,,,1000000000,,,,,,,,SALES_TAX_RULE_ABSENT|SOURCE_TYPE_UNRESOLVED,false,R10 attr_source_type is NULL today so this is UNRESOLVED and NOT known-false. Reading it as known-false would compute nothing while reporting a complete total
